set,series,number,name,rarity,types,hp,image_small,is_ex,popularity,tcgplayer_price,cardmarket_price_eur,price,predicted_price,residual_log,verdict,confident,pull_cost,pull_score,pct_change_7d,pct_change_30d
Black Bolt,Scarlet & Violet,12,Victini,Rare,Fire,80.0,https://images.pokemontcg.io/zsv10pt5/12.png,0,3.0,0.16,0.08,0.16,2.6,-2.79,UNDERVALUED,True,,,-20.0,
XY Black Star Promos,XY,XY164,Volcanion,Promo,Fire,130.0,https://images.pokemontcg.io/xyp/XY164.png,0,3.0,1.22,1.52,1.22,19.55,-2.77,UNDERVALUED,True,,,0.0,
Black & White,Black & White,100,Potion,Common,,0.0,https://images.pokemontcg.io/bw1/100.png,0,3.0,0.1,0.1,0.1,1.59,-2.76,UNDERVALUED,True,,,-50.0,
Team Up,Sun & Moon,167,Incineroar-GX,Rare Ultra,Darkness,250.0,https://images.pokemontcg.io/sm9/167.png,0,3.0,9.75,7.92,9.75,153.53,-2.76,UNDERVALUED,True,,,6.1,
POP Series 2,POP,13,Cacnea,Common,Grass,40.0,https://images.pokemontcg.io/pop2/13.png,0,3.0,1.03,0.46,1.03,16.06,-2.75,,False,,,3.0,
BW Black Star Promos,Black & White,BW17,Ducklett,Promo,Water,60.0,https://images.pokemontcg.io/bwp/BW17.png,0,3.0,1.84,5.36,1.84,28.25,-2.73,UNDERVALUED,True,,,-1.6,
XY Black Star Promos,XY,XY26,Pyroar,Promo,Fire,100.0,https://images.pokemontcg.io/xyp/XY26.png,0,3.0,1.15,1.16,1.15,17.63,-2.73,UNDERVALUED,True,,,0.9,
SM Black Star Promos,Sun & Moon,SM26,Tsareena,Promo,Grass,140.0,https://images.pokemontcg.io/smp/SM26.png,0,3.0,0.64,0.48,0.64,9.79,-2.73,UNDERVALUED,True,,,1.6,
Celebrations: Classic Collection,Sword & Shield,15,Claydol,Classic Collection,Fighting,80.0,https://images.pokemontcg.io/cel25c/15_D.png,0,3.0,0.34,,0.34,5.12,-2.71,UNDERVALUED,True,,,-19.0,
Dragon Vault,Black & White,18,Exp. Share,Unknown,,0.0,https://images.pokemontcg.io/dv1/18.png,0,3.0,1.84,1.98,1.84,27.55,-2.71,,False,,,0.5,
Celebrations,Sword & Shield,23,Professor's Research (Professor Oak),Rare Holo,,0.0,https://images.pokemontcg.io/cel25/23.png,0,3.0,0.4,0.19,0.4,5.85,-2.68,UNDERVALUED,True,,,11.1,
XY Black Star Promos,XY,XY161,Braixen,Promo,Fire,80.0,https://images.pokemontcg.io/xyp/XY161.png,0,3.0,1.14,1.02,1.14,16.46,-2.67,UNDERVALUED,True,,,3.6,
Team Up,Sun & Moon,168,Cobalion-GX,Rare Ultra,Metal,170.0,https://images.pokemontcg.io/sm9/168.png,0,3.0,7.68,5.17,7.68,109.94,-2.66,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM42,Cosmog,Promo,Psychic,60.0,https://images.pokemontcg.io/smp/SM42.png,0,3.0,0.48,0.42,0.48,6.77,-2.65,UNDERVALUED,True,,,2.1,
Arceus,Platinum,29,Raticate,Rare,Colorless,70.0,https://images.pokemontcg.io/pl4/29.png,0,3.0,1.13,0.47,1.13,15.94,-2.65,UNDERVALUED,True,,,0.0,
Scarlet & Violet Promos,Scarlet & Violet,185,Yanma,Promo,Grass,60.0,https://images.pokemontcg.io/svp/185.png,0,3.0,0.28,1.33,0.28,3.89,-2.63,UNDERVALUED,True,,,-9.7,
SWSH Black Star Promos,Sword & Shield,SWSH167,Professor Burnet,Promo,,0.0,https://images.pokemontcg.io/swshp/SWSH167.png,0,3.0,0.28,0.44,0.28,3.86,-2.62,UNDERVALUED,True,,,12.0,
Arceus,Platinum,22,Manectric,Rare,Lightning,90.0,https://images.pokemontcg.io/pl4/22.png,0,3.0,0.65,0.37,0.65,8.94,-2.62,UNDERVALUED,True,,,0.0,
Diamond & Pearl,Diamond & Pearl,118,Potion,Common,,0.0,https://images.pokemontcg.io/dp1/118.png,0,3.0,0.13,0.07,0.13,1.79,-2.62,UNDERVALUED,True,,,0.0,
BW Black Star Promos,Black & White,BW69,Meloetta,Promo,Fighting,80.0,https://images.pokemontcg.io/bwp/BW69.png,0,3.0,1.75,1.66,1.75,23.88,-2.61,UNDERVALUED,True,,,0.0,
BREAKpoint,XY,106,Potion,Uncommon,,0.0,https://images.pokemontcg.io/xy9/106.png,0,3.0,0.02,0.13,0.02,0.27,-2.6,UNDERVALUED,True,,,100.0,
Plasma Storm,Black & White,138,Random Receiver,Rare Secret,,0.0,https://images.pokemontcg.io/bw8/138.png,0,3.0,42.37,19.47,42.37,552.45,-2.57,,False,,,0.0,
Arceus,Platinum,14,Bronzong,Rare,Metal,90.0,https://images.pokemontcg.io/pl4/14.png,0,3.0,0.69,0.45,0.69,8.94,-2.56,UNDERVALUED,True,,,-1.4,
BW Black Star Promos,Black & White,BW07,Tepig,Promo,Fire,60.0,https://images.pokemontcg.io/bwp/BW07.png,0,3.0,2.19,4.03,2.19,28.25,-2.56,UNDERVALUED,True,,,0.0,
Unseen Forces,EX,30,Murkrow,Rare,Darkness,70.0,https://images.pokemontcg.io/ex10/30.png,0,3.0,1.92,1.23,1.92,24.09,-2.53,UNDERVALUED,True,,,2.1,
SM Black Star Promos,Sun & Moon,SM243,Regigigas,Promo,Colorless,150.0,https://images.pokemontcg.io/smp/SM243.png,0,3.0,0.82,1.08,0.82,10.25,-2.53,UNDERVALUED,True,,,0.0,
XY Black Star Promos,XY,XY131,Pansear,Promo,Fire,60.0,https://images.pokemontcg.io/xyp/XY131.png,0,3.0,1.24,2.2,1.24,15.36,-2.52,UNDERVALUED,True,,,4.2,
SWSH Black Star Promos,Sword & Shield,SWSH093,Arrokuda,Promo,Water,60.0,https://images.pokemontcg.io/swshp/SWSH093.png,0,3.0,0.33,0.62,0.33,3.97,-2.49,UNDERVALUED,True,,,-8.3,
Rebel Clash,Sword & Shield,145,Unfezant,Rare,Colorless,150.0,https://images.pokemontcg.io/swsh2/145.png,0,3.0,0.02,0.21,0.02,0.24,-2.48,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM30,Tapu Koko,Promo,Lightning,110.0,https://images.pokemontcg.io/smp/SM30.png,0,3.0,0.72,1.18,0.72,8.53,-2.47,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM31,Tapu Koko,Promo,Lightning,110.0,https://images.pokemontcg.io/smp/SM31.png,0,3.0,0.72,1.31,0.72,8.53,-2.47,UNDERVALUED,True,,,1.4,
Cosmic Eclipse,Sun & Moon,217,Oricorio-GX,Rare Ultra,Psychic,170.0,https://images.pokemontcg.io/sm12/217.png,0,3.0,6.96,4.32,6.96,82.06,-2.47,UNDERVALUED,True,,,0.0,
Cosmic Eclipse,Sun & Moon,219,Alolan Persian-GX,Rare Ultra,Darkness,200.0,https://images.pokemontcg.io/sm12/219.png,0,3.0,6.97,4.25,6.97,80.73,-2.45,UNDERVALUED,True,,,-0.6,
Unseen Forces,EX,22,Electabuzz,Rare,Lightning,70.0,https://images.pokemontcg.io/ex10/22.png,0,3.0,2.08,2.41,2.08,24.09,-2.45,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM245,Mismagius,Promo,Psychic,90.0,https://images.pokemontcg.io/smp/SM245.png,0,3.0,0.68,0.56,0.68,7.78,-2.44,UNDERVALUED,True,,,1.5,
SM Black Star Promos,Sun & Moon,SM222,Mismagius,Promo,Psychic,110.0,https://images.pokemontcg.io/smp/SM222.png,0,3.0,0.75,1.23,0.75,8.53,-2.43,UNDERVALUED,True,,,0.0,
Crimson Invasion,Sun & Moon,46,Salandit,Common,Psychic,60.0,https://images.pokemontcg.io/sm4/46.png,0,3.0,0.02,0.04,0.02,0.23,-2.42,UNDERVALUED,True,,,-33.3,
Nintendo Black Star Promos,NP,22,Beldum,Promo,Metal,50.0,https://images.pokemontcg.io/np/22.png,0,3.0,6.73,13.31,6.73,75.67,-2.42,UNDERVALUED,True,,,12.2,
DP Black Star Promos,Diamond & Pearl,DP32,Magnezone,Promo,Metal,130.0,https://images.pokemontcg.io/dpp/DP32.png,0,3.0,3.72,,3.72,41.65,-2.42,UNDERVALUED,True,,,-2.9,
SM Black Star Promos,Sun & Moon,SM239,Carracosta-GX,Promo,Fighting,250.0,https://images.pokemontcg.io/smp/SM239.png,0,3.0,1.47,2.18,1.47,16.25,-2.4,UNDERVALUED,True,,,5.8,
SWSH Black Star Promos,Sword & Shield,SWSH173,Blitzle,Promo,Lightning,60.0,https://images.pokemontcg.io/swshp/SWSH173.png,0,3.0,0.36,0.58,0.36,3.97,-2.4,UNDERVALUED,True,,,-2.7,
Evolving Skies,Sword & Shield,185,Medicham V,Rare Ultra,Fighting,210.0,https://images.pokemontcg.io/swsh7/185.png,0,3.0,2.24,3.03,2.24,24.59,-2.4,UNDERVALUED,True,,,-0.4,
Evolving Skies,Sword & Shield,197,Duraludon V,Rare Ultra,Dragon,220.0,https://images.pokemontcg.io/swsh7/197.png,0,3.0,2.44,4.11,2.44,26.44,-2.38,UNDERVALUED,True,,,1.2,
Team Up,Sun & Moon,97,Incineroar-GX,Rare Holo GX,Darkness,250.0,https://images.pokemontcg.io/sm9/97.png,0,3.0,3.36,1.88,3.36,36.07,-2.37,UNDERVALUED,True,,,5.0,
SWSH Black Star Promos,Sword & Shield,SWSH273,Hisuian Basculin,Promo,Water,50.0,https://images.pokemontcg.io/swshp/SWSH273.png,0,3.0,0.37,0.59,0.37,3.95,-2.37,UNDERVALUED,True,,,-9.8,
Arceus,Platinum,24,Pelipper,Rare,Water,90.0,https://images.pokemontcg.io/pl4/24.png,0,3.0,0.84,0.53,0.84,8.94,-2.37,UNDERVALUED,True,,,0.0,
Diamond & Pearl,Diamond & Pearl,117,Energy Search,Common,,0.0,https://images.pokemontcg.io/dp1/117.png,0,3.0,0.17,0.08,0.17,1.79,-2.35,UNDERVALUED,True,,,6.3,
Unseen Forces,EX,26,Hitmontop,Rare,Fighting,70.0,https://images.pokemontcg.io/ex10/26.png,0,3.0,2.32,4.98,2.32,24.09,-2.34,UNDERVALUED,True,,,0.0,
SWSH Black Star Promos,Sword & Shield,SWSH274,Cranidos,Promo,Fighting,90.0,https://images.pokemontcg.io/swshp/SWSH274.png,0,3.0,0.39,0.46,0.39,4.03,-2.33,UNDERVALUED,True,,,0.0,
Phantom Forces,XY,120,M Manectric-EX,Rare Secret,Lightning,210.0,https://images.pokemontcg.io/xy4/120.png,0,3.0,52.85,29.2,52.85,544.01,-2.33,,False,,,0.0,
Generations,XY,20,Cloyster,Uncommon,Water,100.0,https://images.pokemontcg.io/g1/20.png,0,3.0,0.32,0.11,0.32,3.28,-2.33,UNDERVALUED,True,,,0.0,
BW Black Star Promos,Black & White,BW01,Snivy,Promo,Grass,60.0,https://images.pokemontcg.io/bwp/BW01.png,0,3.0,2.8,0.98,2.8,28.25,-2.31,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM14,Lycanroc-GX,Promo,Fighting,200.0,https://images.pokemontcg.io/smp/SM14.png,0,3.0,1.29,1.51,1.29,12.91,-2.3,UNDERVALUED,True,,,10.3,
Generations,XY,44,Graveler,Uncommon,Fighting,100.0,https://images.pokemontcg.io/g1/44.png,0,3.0,0.33,0.22,0.33,3.28,-2.3,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM07,Pikipek,Promo,Colorless,60.0,https://images.pokemontcg.io/smp/SM07.png,0,3.0,0.69,1.01,0.69,6.77,-2.28,UNDERVALUED,True,,,0.0,
Unified Minds,Sun & Moon,216,Heatran-GX,Rare Ultra,Fire,190.0,https://images.pokemontcg.io/sm11/216.png,0,3.0,5.0,4.6,5.0,48.98,-2.28,UNDERVALUED,True,,,1.0,
Scarlet & Violet Black Star Promos,Scarlet & Violet,93,Carvanha,Promo,Water,50.0,https://images.pokemontcg.io/svp/93.png,0,3.0,0.3,0.73,0.3,2.93,-2.28,UNDERVALUED,True,,,-26.8,
Hidden Fates,Sun & Moon,67,Giovanni's Exile,Rare Ultra,,0.0,https://images.pokemontcg.io/sm115/67.png,1,3.0,4.32,5.7,4.32,41.9,-2.27,,False,,,0.0,
SWSH Black Star Promos,Sword & Shield,SWSH040,Hatenna,Promo,Psychic,60.0,https://images.pokemontcg.io/swshp/SWSH040.png,0,3.0,0.41,2.37,0.41,3.97,-2.27,UNDERVALUED,True,,,-6.8,
Unseen Forces,EX,28,Jynx,Rare,Water,70.0,https://images.pokemontcg.io/ex10/28.png,0,3.0,2.49,2.72,2.49,24.09,-2.27,UNDERVALUED,True,,,5.1,
Scarlet & Violet Black Star Promos,Scarlet & Violet,61,Pineco,Promo,Grass,70.0,https://images.pokemontcg.io/svp/61.png,0,3.0,0.3,0.47,0.3,2.9,-2.27,UNDERVALUED,True,,,-3.2,
SWSH Black Star Promos,Sword & Shield,SWSH178,Professor's Research,Promo,,0.0,https://images.pokemontcg.io/swshp/SWSH178.png,0,3.0,0.4,0.49,0.4,3.86,-2.27,UNDERVALUED,True,,,-4.8,
Evolving Skies,Sword & Shield,219,Duraludon VMAX,Rare Rainbow,Dragon,330.0,https://images.pokemontcg.io/swsh7/219.png,0,3.0,6.8,8.75,6.8,65.3,-2.26,UNDERVALUED,True,,,-0.1,
Scarlet & Violet Black Star Promos,Scarlet & Violet,9,Spidops,Promo,Grass,120.0,https://images.pokemontcg.io/svp/9.png,0,3.0,0.3,0.88,0.3,2.83,-2.24,UNDERVALUED,True,,,0.0,
Cosmic Eclipse,Sun & Moon,213,Volcarona-GX,Rare Ultra,Fire,210.0,https://images.pokemontcg.io/sm12/213.png,0,3.0,8.56,5.41,8.56,80.29,-2.24,UNDERVALUED,True,,,0.5,
SWSH Black Star Promos,Sword & Shield,SWSH189,Flapple,Promo,Dragon,80.0,https://images.pokemontcg.io/swshp/SWSH189.png,0,3.0,0.43,0.21,0.43,4.01,-2.23,UNDERVALUED,True,,,-10.4,
Flashfire,XY,109,M Kangaskhan-EX,Rare Secret,Colorless,230.0,https://images.pokemontcg.io/xy2/109.png,0,3.0,67.49,130.47,67.49,628.9,-2.23,,False,,,0.0,
SWSH Black Star Promos,Sword & Shield,SWSH245,Croagunk,Promo,Darkness,60.0,https://images.pokemontcg.io/swshp/SWSH245.png,0,3.0,0.43,0.16,0.43,3.97,-2.22,UNDERVALUED,True,,,-6.5,
SM Black Star Promos,Sun & Moon,SM40,Jangmo-o,Promo,Dragon,60.0,https://images.pokemontcg.io/smp/SM40.png,0,3.0,0.74,0.96,0.74,6.77,-2.21,UNDERVALUED,True,,,0.0,
Kalos Starter Set,XY,10,Delphox,Unknown,Fire,140.0,https://images.pokemontcg.io/xy0/10.png,0,3.0,0.81,1.41,0.81,7.29,-2.2,UNDERVALUED,True,,,-1.2,
Evolving Skies,Sword & Shield,206,Trevenant VMAX,Rare Rainbow,Grass,320.0,https://images.pokemontcg.io/swsh7/206.png,0,3.0,6.79,6.38,6.79,60.71,-2.19,UNDERVALUED,True,,,0.3,
Evolving Skies,Sword & Shield,176,Arctovish V,Rare Ultra,Water,220.0,https://images.pokemontcg.io/swsh7/176.png,0,3.0,2.97,2.61,2.97,26.44,-2.19,UNDERVALUED,True,,,-6.3,
Chilling Reign,Sword & Shield,175,Sandaconda V,Rare Ultra,Fighting,220.0,https://images.pokemontcg.io/swsh6/175.png,0,3.0,1.82,2.23,1.82,16.19,-2.19,UNDERVALUED,True,,,2.2,
Unbroken Bonds,Sun & Moon,202,Honchkrow-GX,Rare Ultra,Darkness,210.0,https://images.pokemontcg.io/sm10/202.png,0,3.0,5.06,6.6,5.06,44.97,-2.18,UNDERVALUED,True,,,-1.0,
BREAKpoint,XY,15,Heatmor,Uncommon,Fire,100.0,https://images.pokemontcg.io/xy9/15.png,0,3.0,0.02,0.09,0.02,0.18,-2.18,UNDERVALUED,True,,,0.0,
Obsidian Flames,Scarlet & Violet,229,Artazon,Hyper Rare,,0.0,https://images.pokemontcg.io/sv3/229.png,0,3.0,1.45,3.1,1.45,12.83,-2.18,,False,,,8.2,
Platinum,Platinum,35,Luvdisc,Rare,Water,70.0,https://images.pokemontcg.io/pl1/35.png,0,3.0,1.42,0.87,1.42,12.53,-2.18,UNDERVALUED,True,,,0.0,
SM Black Star Promos,Sun & Moon,SM154,Salandit,Promo,Fire,60.0,https://images.pokemontcg.io/smp/SM154.png,0,3.0,0.77,1.38,0.77,6.77,-2.17,UNDERVALUED,True,,,0.0,
Arceus,Platinum,18,Glalie,Rare,Water,90.0,https://images.pokemontcg.io/pl4/18.png,0,3.0,1.02,0.72,1.02,8.94,-2.17,UNDERVALUED,True,,,0.0,
Scarlet & Violet Black Star Promos,Scarlet & Violet,12,Dondozo,Promo,Water,150.0,https://images.pokemontcg.io/svp/12.png,0,3.0,0.32,0.25,0.32,2.79,-2.16,UNDERVALUED,True,,,0.0,
SWSH Black Star Promos,Sword & Shield,SWSH117,Phanpy,Promo,Fighting,70.0,https://images.pokemontcg.io/swshp/SWSH117.png,0,3.0,0.46,0.65,0.46,3.99,-2.16,UNDERVALUED,True,,,-4.2,
Scarlet & Violet Black Star Promos,Scarlet & Violet,23,Smoliv,Promo,Grass,60.0,https://images.pokemontcg.io/svp/23.png,0,3.0,0.34,0.48,0.34,2.91,-2.15,UNDERVALUED,True,,,-8.1,
XY Black Star Promos,XY,XY163,Weezing,Promo,Psychic,100.0,https://images.pokemontcg.io/xyp/XY163.png,0,3.0,2.07,1.09,2.07,17.63,-2.14,UNDERVALUED,True,,,-2.4,
XY Black Star Promos,XY,XY175,Magearna-EX,Promo,Metal,160.0,https://images.pokemontcg.io/xyp/XY175.png,0,3.0,2.56,2.24,2.56,21.68,-2.14,UNDERVALUED,True,,,-0.4,
Scarlet & Violet Promos,Scarlet & Violet,186,Scraggy,Promo,Darkness,60.0,https://images.pokemontcg.io/svp/186.png,0,3.0,0.46,1.8,0.46,3.89,-2.14,UNDERVALUED,True,,,21.1,
SWSH Black Star Promos,Sword & Shield,SWSH210,Oricorio,Promo,Psychic,90.0,https://images.pokemontcg.io/swshp/SWSH210.png,0,3.0,0.48,0.38,0.48,4.03,-2.13,UNDERVALUED,True,,,-2.0,
BW Black Star Promos,Black & White,BW11,Pansage,Promo,Grass,60.0,https://images.pokemontcg.io/bwp/BW11.png,0,3.0,3.37,4.44,3.37,28.25,-2.13,UNDERVALUED,True,,,4.3,
SWSH Black Star Promos,Sword & Shield,SWSH028,Duraludon,Promo,Metal,130.0,https://images.pokemontcg.io/swshp/SWSH028.png,0,3.0,0.49,0.53,0.49,4.1,-2.12,UNDERVALUED,True,,,2.1,
Scarlet & Violet Black Star Promos,Scarlet & Violet,40,Pawmi,Promo,Lightning,50.0,https://images.pokemontcg.io/svp/40.png,0,3.0,0.35,0.97,0.35,2.93,-2.12,UNDERVALUED,True,,,2.9,
Fusion Strike,Sword & Shield,267,Boltund VMAX,Rare Rainbow,Lightning,320.0,https://images.pokemontcg.io/swsh8/267.png,0,3.0,7.39,5.25,7.39,61.66,-2.12,UNDERVALUED,True,,,-2.2,
Brilliant Stars,Sword & Shield,104,Klinklang,Rare,Metal,150.0,https://images.pokemontcg.io/swsh9/104.png,0,3.0,0.02,0.05,0.02,0.16,-2.1,UNDERVALUED,True,,,-50.0,
Evolving Skies,Sword & Shield,210,Dracozolt VMAX,Rare Rainbow,Lightning,330.0,https://images.pokemontcg.io/swsh7/210.png,0,3.0,7.99,5.93,7.99,65.3,-2.1,UNDERVALUED,True,,,-1.2,
DP Black Star Promos,Diamond & Pearl,DP33,Dusknoir,Promo,Psychic,130.0,https://images.pokemontcg.io/dpp/DP33.png,0,3.0,5.11,,5.11,41.65,-2.1,UNDERVALUED,True,,,0.0,
Platinum,Platinum,24,Dugtrio,Rare,Fighting,90.0,https://images.pokemontcg.io/pl1/24.png,0,3.0,0.82,0.4,0.82,6.61,-2.09,UNDERVALUED,True,,,6.5,
XY Black Star Promos,XY,XY11,Skiddo,Promo,Grass,70.0,https://images.pokemontcg.io/xyp/XY11.png,0,3.0,1.99,10.42,1.99,15.9,-2.08,UNDERVALUED,True,,,0.0,
SWSH Black Star Promos,Sword & Shield,SWSH220,Rowlet,Promo,Grass,60.0,https://images.pokemontcg.io/swshp/SWSH220.png,0,3.0,0.5,0.71,0.5,3.97,-2.07,UNDERVALUED,True,,,-7.4,
Rising Rivals,Platinum,28,Mr. Mime E4,Rare,Psychic,70.0,https://images.pokemontcg.io/pl2/28.png,0,3.0,0.98,0.38,0.98,7.68,-2.06,UNDERVALUED,True,,,2.1,
Wizards Black Star Promos,Base,29,Marill,Promo,Water,50.0,https://images.pokemontcg.io/basep/29.png,0,3.0,6.39,11.26,6.39,49.99,-2.06,UNDERVALUED,True,,,-7.3,
BW Black Star Promos,Black & White,BW02,Tepig,Promo,Fire,70.0,https://images.pokemontcg.io/bwp/BW02.png,0,3.0,3.33,1.44,3.33,25.97,-2.05,UNDERVALUED,True,,,0.3,
SWSH Black Star Promos,Sword & Shield,SWSH209,Toxel,Promo,Lightning,60.0,https://images.pokemontcg.io/swshp/SWSH209.png,0,3.0,0.51,0.38,0.51,3.97,-2.05,UNDERVALUED,True,,,6.3,
Evolving Skies,Sword & Shield,216,Garbodor VMAX,Rare Rainbow,Darkness,330.0,https://images.pokemontcg.io/swsh7/216.png,0,3.0,8.4,5.39,8.4,65.3,-2.05,UNDERVALUED,True,,,-3.2,
Ultra Prism,Sun & Moon,127,Looker Whistle,Uncommon,,0.0,https://images.pokemontcg.io/sm5/127.png,0,3.0,0.03,0.1,0.03,0.23,-2.05,UNDERVALUED,True,,,-25.0,
Wizards Black Star Promos,Base,16,Computer Error,Promo,,0.0,https://images.pokemontcg.io/basep/16.png,0,3.0,6.91,7.33,6.91,53.4,-2.04,UNDERVALUED,True,,,-4.6,
Burning Shadows,Sun & Moon,22,Pansear,Common,Fire,70.0,https://images.pokemontcg.io/sm3/22.png,0,3.0,0.02,0.04,0.02,0.15,-2.04,UNDERVALUED,True,,,-50.0,
Generations,XY,19,Shellder,Common,Water,60.0,https://images.pokemontcg.io/g1/19.png,0,3.0,0.18,0.11,0.18,1.39,-2.04,UNDERVALUED,True,,,-5.3,
Scarlet & Violet Black Star Promos,Scarlet & Violet,10,Espathra,Promo,Psychic,110.0,https://images.pokemontcg.io/svp/10.png,0,3.0,0.37,1.39,0.37,2.84,-2.04,UNDERVALUED,True,,,-2.6,
Chilling Reign,Sword & Shield,162,Volcanion V,Rare Ultra,Fire,220.0,https://images.pokemontcg.io/swsh6/162.png,0,3.0,2.12,2.74,2.12,16.19,-2.03,UNDERVALUED,True,,,-7.0,
Generations,XY,49,Rhyhorn,Common,Fighting,80.0,https://images.pokemontcg.io/g1/49.png,0,3.0,0.22,0.13,0.22,1.68,-2.03,UNDERVALUED,True,,,0.0,
Scarlet & Violet Black Star Promos,Scarlet & Violet,94,Bellibolt,Promo,Lightning,130.0,https://images.pokemontcg.io/svp/94.png,0,3.0,0.37,1.23,0.37,2.81,-2.03,UNDERVALUED,True,,,-7.5,
Unbroken Bonds,Sun & Moon,40,Tentacool,Common,Water,60.0,https://images.pokemontcg.io/sm10/40.png,0,3.0,0.04,0.15,0.04,0.3,-2.03,UNDERVALUED,True,,,-20.0,
Sword & Shield,Sword & Shield,185,Vitality Band,Uncommon,,0.0,https://images.pokemontcg.io/swsh1/185.png,0,3.0,0.02,0.09,0.02,0.15,-2.03,UNDERVALUED,True,,,-50.0,
XY Black Star Promos,XY,XY199,Camerupt Spirit Link,Promo,,0.0,https://images.pokemontcg.io/xyp/XY199.png,0,3.0,1.65,1.94,1.65,12.49,-2.02,UNDERVALUED,True,,,2.5,
Black & White,Black & White,93,Energy Search,Common,,0.0,https://images.pokemontcg.io/bw1/93.png,0,3.0,0.21,0.1,0.21,1.59,-2.02,UNDERVALUED,True,,,0.0,
Generations,XY,41,Machoke,Uncommon,Fighting,90.0,https://images.pokemontcg.io/g1/41.png,0,3.0,0.36,0.27,0.36,2.7,-2.02,UNDERVALUED,True,,,-5.3,
SWSH Black Star Promos,Sword & Shield,SWSH010,Gossifleur,Promo,Grass,50.0,https://images.pokemontcg.io/swshp/SWSH010.png,0,3.0,0.53,1.52,0.53,3.95,-2.01,UNDERVALUED,True,,,3.9,
SM Black Star Promos,Sun & Moon,SM61,Tapu Bulu,Promo,Grass,130.0,https://images.pokemontcg.io/smp/SM61.png,0,3.0,1.26,2.09,1.26,9.35,-2.0,UNDERVALUED,True,,,0.0,
Arceus,Platinum,28,Rapidash,Rare,Fire,80.0,https://images.pokemontcg.io/pl4/28.png,0,3.0,1.61,1.06,1.61,11.94,-2.0,UNDERVALUED,True,,,1.3,
Battle Styles,Sword & Shield,101,Bronzor,Common,Metal,60.0,https://images.pokemontcg.io/swsh5/101.png,0,3.0,0.02,0.02,0.02,0.15,-2.0,UNDERVALUED,True,,,-33.3,
SWSH Black Star Promos,Sword & Shield,SWSH277,Rillaboom,Promo,Grass,180.0,https://images.pokemontcg.io/swshp/SWSH277.png,0,3.0,0.57,0.22,0.57,4.2,-2.0,UNDERVALUED,True,,,1.8,
BW Black Star Promos,Black & White,BW06,Snivy,Promo,Grass,60.0,https://images.pokemontcg.io/bwp/BW06.png,0,3.0,3.84,7.17,3.84,28.25,-2.0,UNDERVALUED,True,,,0.0,
